Task ID,Task Name,Assigned To,Role,Start Date,End Date,Duration (Days),% Complete,Status,Priority,Dependencies,Notes
1,Project Kickoff,Project Manager,PM,2026-02-03,2026-02-03,1,100,Complete,High,,Initial meeting
2,Requirements Gathering,Lead 1,Lead,2026-02-04,2026-02-07,4,75,In Progress,High,1,
3,System Design,Lead 2,Lead,2026-02-08,2026-02-14,7,0,Not Started,High,2,
4,Task Assignment,Project Manager,PM,2026-02-10,2026-02-11,2,0,Not Started,Medium,2,
5,Development Phase 1,Member 1,Member,2026-02-15,2026-02-21,7,0,Not Started,High,3,
6,Development Phase 2,Member 2,Member,2026-02-15,2026-02-21,7,0,Not Started,High,3,
7,Testing Module A,Member 3,Member,2026-02-22,2026-02-25,4,0,Not Started,Medium,5,
8,Testing Module B,Member 4,Member,2026-02-22,2026-02-25,4,0,Not Started,Medium,6,
9,Integration Work,Member 5,Member,2026-02-26,2026-03-01,4,0,Not Started,High,"7,8",
10,Documentation,Member 6,Member,2026-02-20,2026-03-05,14,0,Not Started,Medium,3,
11,Quality Review,Lead 1,Lead,2026-03-02,2026-03-04,3,0,Not Started,High,9,
12,Bug Fixes,Member 7,Member,2026-03-05,2026-03-08,4,0,Not Started,High,11,
13,User Training Prep,Member 8,Member,2026-03-01,2026-03-07,7,0,Not Started,Medium,10,
14,Final Testing,Member 9,Member,2026-03-09,2026-03-11,3,0,Not Started,High,12,
15,Deployment,Member 10,Member,2026-03-12,2026-03-13,2,0,Not Started,Critical,14,
16,Project Review,Project Manager,PM,2026-03-14,2026-03-14,1,0,Not Started,High,15,Final review meeting
